0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Cluster
,,,,,,,,,,,,,,,,,,,,,,,,2.0
391.836734693878,373.469387755102,361.224489795918,348.979591836735,340.816326530612,322.448979591837,310.204081632653,310.204081632653,316.326530612245,300.0,291.836734693878,293.877551020408,287.755102040816,283.673469387755,304.081632653061,295.918367346939,295.918367346939,304.081632653061,314.285714285714,316.326530612245,328.571428571429,338.775510204082,353.061224489796,363.265306122449,0.0
418.3095098939639,376.29308835237765,360.34336514778283,376.0467031676788,343.3931462013499,337.7848879250709,340.46781778170055,312.54945043476175,321.881454894202,302.26821851256574,302.7983350156256,301.97703037965607,295.68584224674635,282.98151274317433,318.54397658756636,321.82919513144265,301.1149094171569,312.46234393450516,313.51908606078285,331.3712508125694,350.76995360900105,351.5001651230338,380.44491022227135,380.5424686750796,0.0
417.3537136654783,390.3208705823065,388.3601996833212,361.2362634782145,369.82710872923076,333.77385748279465,330.40502331850325,314.8948192368706,314.78331795166935,304.5364370251315,299.1680986026794,307.1377342287001,294.9839293914523,296.4732295679814,329.9655041955412,324.0665535281912,306.3114514873749,311.7206062363575,325.3238864072803,343.25270570677145,333.5399072180016,337.1227792256591,386.64492248535896,376.0237128603633,0.0
392.88771335536006,389.4098773020312,394.7035648311044,353.4054156254848,372.40392839996866,345.8852760201102,335.85243293693856,320.3422288553059,320.3382422336264,297.8046555376972,307.21133157748824,297.6045605267236,294.2820165361582,301.45474231115577,301.85641955861803,305.58962621065393,308.54880988412333,326.1829501708629,327.7001153252063,339.31783407036113,342.59557511271646,343.0719239405292,350.477587809671,382.40291622932045,0.0
419.360488555446,381.02949626665384,379.3734605911326,370.00313920132663,340.8991154176454,322.5273068023237,310.2794343921086,307.17739357578205,322.72990120946105,303.07287405026295,297.74436047066445,296.8877133553595,307.96785878290495,309.27298974820775,301.1146818604704,313.7453519543413,301.90861726046376,331.5228451257765,323.79062995741805,322.72990120946105,351.6512430074314,362.5720890635627,381.3918857870443,381.51681347582866,1.0
426.241427020838,387.5878907414806,371.267846147079,376.13147502206635,353.70042488430175,341.08770493147597,325.0329664595235,328.13500727585006,331.44809079754054,302.3410925628287,317.4610628332284,290.2933151635872,298.63329286638634,285.8871555526066,312.5362094684452,301.1867919837428,298.22760831027347,312.5362094684452,332.45257316105835,312.4684989608059,334.42119661643187,354.97021337026956,359.34700009094814,358.8347923549899,1.0
425.28563079235244,405.35036684896045,366.77447660098477,368.30062716933674,346.05275475912134,337.0766744891998,308.76609036367313,318.0722128126527,337.0030150794977,319.6093110753945,313.83082642028216,298.39279452283523,292.176277970276,285.19519890802593,308.75365544376695,297.50578303355263,291.58741568661384,308.75365544376695,319.11451636469866,337.0030150794977,353.3340073682897,337.205072370854,358.48578786423985,361.58134266272253,0.0
408.6563651761117,374.5618225482769,376.73008664672716,363.9595752349744,365.6703907563899,339.51462363876016,314.21349998210843,304.90737753312885,320.41508221859755,306.87752958796017,289.77201857876446,318.2473759228996,297.2294671557982,281.6665075695677,311.05273407214986,314.53905979764806,296.7839577568317,311.05273407214986,330.9193167111961,329.9048781369649,345.96110383443306,360.09299259592825,364.6858001273274,378.85850521535315,1.0
395.9454669068098,384.8549109006547,354.17549261083695,345.6593396271427,354.6145573659034,316.15665442097367,328.96703204952337,335.17111368217644,341.7863330311669,309.14574810052596,309.48872094132844,302.83665120051506,308.03775838213676,283.8112856188646,304.229363720941,304.93968350051904,310.85805084745783,304.229363720941,308.152688486265,335.45980241892204,351.73105744343366,345.71560669855353,353.2327511659252,356.1764840945144,0.0
